event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_best
RUS9432,"05 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)","Women (Russia)",Protesters,,,,"Protesters only",,643,Europe,Russia,Chelyabinsk,Chelyabinskiy,,Chelyabinsk,55.154,61.4292,1,"Magcity74.ru; Sovetskaya Rossiya",Subnational-National,"On 5 February 2023, around 20 people participated in an organized picket in Chelyabinsk against the abortion ban. The protest was organized by a local feminist organization.",0,"crowd size=around 20",1676403729,3700
RUS9441,"05 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)",,Protesters,,,,"Protesters only",,643,Europe,Russia,Khabarovsk,Khabarovsk,,Khabarovsk,48.4827,135.0838,1,News.ru,National,"On 5 February 2023, people staged a protest in Khabarovsk in support of the jailed LDPR governor of Khabarovsk Krai Sergei Furgal. This week, he was sentenced to 22 years in prison.",0,"crowd size=no report",1676403729,6977
RUS9442,"05 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)",,Protesters,,,,"Protesters only",,643,Europe,Russia,"Moscow Oblast",Leninskiy,,Vidnoye,55.5523,37.7096,1,News.ru,National,"On 5 February 2023, residents protested in Vidnoye against the construction of a new highway close to their homes.",0,"crowd size=no report",1738102180,9776
RUS9416,"04 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)","Independent Politicians (Russia); Government of Russia (2000-)",Protesters,,,,"Protesters only",,643,Europe,Russia,Novosibirsk,Novosibirsk,,Novosibirsk,55.0415,82.9346,1,RFE/RL,International,"On 4 February 2023, around 300 people joined a demonstration in Novosibirsk against rising utility tariffs, organized by an independent city council deputy.",0,"crowd size=around 300",1676403729,16087
RUS9419,"04 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)","KPRF: Communist Party of the Russian Federation; LF: Left Front; ZNS: For New Socialism; LKSM: Leninist Komsomol of the Russian Federation",Protesters,,,,"Protesters only",,643,Europe,Russia,Penza,Penza,,Penza,53.2007,45.0046,1,KPRF,Other,"On 4 February 2023, KPRF, Left Front, LKSM, and For New Socialism movement activists staged a protest in Penza, demanding to dismantle the monument to the Czechoslovakian corps.",0,"crowd size=no report",1676403729,12067
RUS9440,"04 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)",,Protesters,,,,"Protesters only",,643,Europe,Russia,Krasnodar,Krasnodar,,Krasnodar,45.0448,38.976,1,"Caucasian Knot",Subnational,"On 4 February 2023, property owners staged pickets in Krasnodar in front of the city administration. They have been waiting for 20 years for their apartments to be finished but still haven't received them because of the construction company's bankruptcy.",0,"crowd size=no report",1719352937,26343
RUS9446,"03 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)",,Protesters,,,,"Protesters only",,643,Europe,Russia,Altai,Volchikhinskiy,,Volchikha,52.0225,80.3672,1,"Institute for the Study of War",Other,"On 3 February 2023, residents of Volchikha village protested in Volchikha, Altai krai, demanding the resignation of a head physician and calling against the lack of medical workers.",0,"crowd size=no report",1677001537,1729
UKR127809,"03 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Ukraine)",,Protesters,,,,"Protesters only",,804,Europe,Ukraine,Khmelnytskyi,Khmelnytskyi,Khmelnytska,Khmelnytskyi,49.4128,26.998,1,"Suspilne Media",National,"On 3 February 2023, demonstrators gathered in Khmelnytskyi, Khmelnytskyi as part of 'Bring our Heroes Home' to support and call for the release of Ukrainian prisoners of war held by the Russian Federation.",0,"crowd size=no report",1695129378,16266
RUS9399,"01 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)","Students (Russia); LKSM: Leninist Komsomol of the Russian Federation; KPRF: Communist Party of the Russian Federation",Protesters,,,,"Protesters only",,643,Europe,Russia,Ryazan,Ryazan,,Ryazan,54.6269,39.6916,1,Activatica,Other,"On 1 February 2023, 5 students - activists of the Leninist Komsomol - staged pickets in Ryazan, demanding to increase the amount of a student stipend and making it equal to the minimum wage.",0,"crowd size=5",1675798463,10049
RUS9400,"01 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)","Women (Russia)",Protesters,,,,"Protesters only",,643,Europe,Russia,"Republic of Bashkortostan",Ufa,,Ufa,54.7852,56.0456,1,Activatica,Other,"On 1 February 2023, several women staged pickets in front of the city administration in Ufa, demanding to restore gas and hot water supply to their houses.",0,"crowd size=several",1675798463,4935
